Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Khan, Muhammed S",University of Guelph,Health System Impact Fellowships - PostDoc Central Canada 2 year,201705HI5,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Modeling the Transmission Dynamics of Chikungunya Virus: Climate Change and Emerging Viral Threats in Canada,"                $108,500","                      $0","2 yrs 0 mth "
"Khan, Nadia A; King-Shier, Kathryn M",University of British Columbia,Operating Grant,201003MOP,Health Services Evaluation & Interventions Research,"Acute Coronary Syndrome Management in South Asian, Chinese and White patients","                $269,751","                      $0","5 yrs 0 mth "
"Khan, Nadia A; Chong, Elaine",University of British Columbia,Operating Grant,201009MOP,Health Services Evaluation & Interventions Research 2,"Ethnocultural differences in adherence to pharmacotherapy among Chinese, South Asian and White adults with Type 2 diabetes","                 $50,517","                      $0","1 yr 0 mth "
"Khan, Selim M",University of Calgary,Fellowship - PA - Research & Knowledge Translation on Urban Housing and Health,202012RAT,Health Research Training B - HP,"""Application of Artificial Intelligence in Evaluation of Radon Health Risk in Urban vs Rural houses of Canada and Sweden."" This interdisciplinary research will apply predictive machine learning algorithms and geospatial intelligence to assess, predict and conduct time-series (1940-2020) analyses of public health risk from exposure to indoor radon, map out the causative patterns as the functions of built structural, environmental and human behavioural factors in urban vs rural houses in Canada and Sweden and generate evidence to support a healthy housing design.","                 $45,000","                      $0","2 yrs 0 mth "
"Khan, Yasmin; Schwartz, Brian",Public Health Ontario (Toronto),Operating Grant,201503MOP,"Public, Community & Population Health",Advancing performance measurement for public health emergency preparedness in Canada,"                $225,705","                      $0","2 yrs 0 mth "
"Khan, Yasmin; Henry, Bonnie J",Public Health Ontario (Toronto),Project Grant,201903PJT,Health Policy & Systems Management Research,Are we prepared? Advancing implementation of knowledge to enhance public health emergency preparedness levels in Canada,"                $409,276","                      $0","3 yrs 0 mth "
"Khayatzadeh-Mahani, Akram; Davies, Lorilee",University of Regina (Saskatchewan),Cat G.: Policy Res. Health System Trans - IPPH - Public Health Systems Research,202210PO5,Policy Research for Health System Transformation,Cross-Sectoral Collaboration to Improve Outcomes for Children/Youth in Vulnerable Contexts,"                $150,000","                      $0","1 yr 0 mth "
"Khayyat Kholghi, Maedeh",Direct Payment,Travel Awards - Institute Community Support,201209ISU,Institute of Indigenous Peoples' Health,Kahnawake Schools of Diabetes Prevention Projects: The Barriers and Facilitators of a Diabetes Prevention Health Curriculum,"                  $1,500","                      $0","0 yr 3 mths "
"Khoury, Jennifer E; Gonzalez, Andrea",Mount Saint Vincent University (Halifax),Project Grant - PA: Pandemic and Health Emergencies Research,202104PUU,Social & Developmental Aspects of Children's & Youth's Health,"Pregnant during the COVID-19 pandemic: A prospective, multi-method study examining the impact of chronic prenatal stress on child outcomes.","                $545,000","                      $0","4 yrs 0 mth "
"Kia, Hannah",University of Toronto,Doctoral Research Award - Priority Announcement: HIV/AIDS - Social Science,201410HIS,Doctoral Research Awards - B,"Psychosocial needs of older lesbian, gay, bisexual, transgender, and queer (LGBTQ) adults living with HIV/AIDS on accessing health care services.","                      $0","                      $0","3 yrs 0 mth "
"Kidd, Sean A",Centre for Addiction and Mental Health (Toronto),Catalyst Grant: CPHO Report - General Pool,202303FO4,Catalyst Grant : Chief Public Health Officer (CPHO) Report 2023,Facing Climate Change in Poverty: Generating a Complex Systems Model at the Climate Change-Poverty-Health Nexus,"                $125,000","                      $0","1 yr 0 mth "
"Kimber, Melissa S",McMaster University,Travel Awards - Institute Community Support,201505ISU,Institute of Population and Public Health - Travel Awards,"Association between immigrant generational status, child-maltreatment history and intimate-partner violence (IPV): Evidence from a nationally representative survey","                  $1,500","                      $0","1 yr 0 mth "
"Kimber, Melissa S",Direct Payment,Travel Awards - Institute Community Support,201205ISU,Institute of Population and Public Health - Travel Awards,"The influence of sex, immigrant status and immigrant concentration on the reporting of Intimate Partner Violence(IPV): Evidence from the Canadian General Social Survey.","                  $1,600","                      $0","0 yr 1 mth "
"Kimber, Melissa S",McMaster University,CIHR Fellowship,201611MFE,Allied Health Professionals - Fellowships,The intersection of child maltreatment and eating disorders: Advancing the adolescent and family perspective,"                $165,000","                      $0","3 yrs 0 mth "
"Kim, David A",Direct Payment,Doctoral Award - Doctoral Foreign Study Award (DFSA),201110DFS,Doctoral Research Awards - B,Social Networks and Health: From Concepts to Intervention,"                $105,000","                      $0","3 yrs 0 mth "
"Kim, Eric",University of British Columbia,Project Grant,202109PJT,"Public, Community & Population Health 2",Life satisfaction and physical health: Identifying underlying mediators and characterizing key moderators,"                $455,176","                      $0","4 yrs 0 mth "
"Kim, Hyoun",University of Calgary,Catalyst Grant: Health Impacts of Gambling and Gaming,202310GAM,Health Impacts of Gambling and Gaming,"A 6-month, 3-wave longitudinal investigation of the impact and moderators of exposure to sports gambling advertisement and subsequent sports betting and harms","                $100,000","                      $0","1 yr 0 mth "
"Kim, Ja Ae (Shara)",McMaster University,"Undergraduate: Mobility, musculoskeletal health and arthritis - ICS",201301SMA,"Undergraduate: Mobility, musculoskeletal health & arthritis - IMHA",Benefits and Harms of Taking Opioids for Chronic Non-cancer Pain,"                  $4,950","                      $0","0 yr 3 mths "
"Kim, Shana J",University of Toronto,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - B,Examining modifiable risk factors previously associated with breast cancer incidence on breast cancer survival among BRCA mutation carriers,"                $105,000","                      $0","3 yrs 0 mth "
"King, Alexandra",Direct Payment,Travel Awards - Institute Community Support,201305ISU,Institute of Indigenous Peoples' Health,Building on our success: knowledge translation in Indigenous health promotion - an initiative of the International Network of Indigenous Health Promotion Professionals (INIHPP),"                  $2,500","                      $0","0 yr 3 mths "
"King, Alexandra; Masching, Renee",University of Saskatchewan,Project Grant,201804PJT,Indigenous Health Research,"Decolonizing health and wellness interventions by creating, implementing and evaluating culturally responsive program components with Indigenous women living with HIV and Aging with Wisdom","                $100,000","                      $0","1 yr 0 mth "
"King, Alexandra; King, Malcolm; Ryan, Chaneesa R","Simon Fraser University (Burnaby, B.C.)",Project Grant,202010PJT,Indigenous Health Research,Stamsh Slhanay Llawat II (Warrior Women Healing II): Continuing the Wellness Journey for Urban Indigenous Women and their Families,"              $1,174,276","                      $0","4 yrs 0 mth "
"King, Alexandra","Communities, Alliances & Networks (Saskatchewan)",Catalyst Grant: Indigenous Approaches to Wellness Research,201701IAW,Indigenous Approaches to Wellness Research,Culturally Grounded Wellness Approaches for Indigenous Women Residing on the Downtown Eastside of Vancouver: Exploring Land Based Healing Approaches for Chronic and Infectious Disease Prevention/Intervention for Women in Urban Settings,"                $147,430","                      $0","0 yr 1 mth "
"King, Alexandra","Communities, Alliances & Networks (Saskatchewan)",Catalyst Grant: Indigenous Approaches to Wellness Research,201701IAW,Indigenous Approaches to Wellness Research,A Two-eyed seeing approach to wholistic healing and wellness for people with drug-use experience,"                $148,960","                      $0","0 yr 1 mth "
"King, Alexandra; Morin, Veronique; O'Hearn, Tracy","Communities, Alliances & Networks (Saskatchewan)",Project Grant,201709PJT,Indigenous Health Research,CheckUp: Time to focus on and learning from Inuit.,"              $1,005,975","                      $0","3 yrs 0 mth "
"King, Alexandra; Masching, Renee",University of Saskatchewan,Project Grant,201803PJT,Indigenous Health Research,Peers4Wellness: Indigenous Approaches to Wellness Support and Research for Indigenous Women with HIV and HCV in British Columbia and Saskatchewan,"              $1,392,301","                      $0","4 yrs 0 mth "
"King, Alexandra; Tait, Patricia",University of Saskatchewan,Project Grant,202104PJT,Indigenous Health Research,Apihkatatan (Weaving Our Baskets): Intersectional trauma-healing and wisdom,"              $1,434,376","                      $0","4 yrs 0 mth "
"King, Alexandra; Harkema, Craig M; King, Malcolm; Morin, Ralph; Natomagan, Vince; Pahtayken, Dolores; Smith, Walter J",University of Saskatchewan,Project Grant,202303PJT,Indigenous Health Research,Kiskemisowin (the gathering of knowledge to remind you who you are): Co-creating Community- and Nation-led digital archives for Indigenous health and wellness knowledge promotion and preservation,"              $1,656,224","                      $0","4 yrs 0 mth "
"King, Alexandra",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,202202PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,2022 World Indigenous Peoples' Conference on Viral Hepatitis,"                 $20,000","                      $0","1 yr 0 mth "
"King-Dowling, Sara M",McMaster University,Travel Awards - Institute Community Support,201501ISU,"Institute of Human Development, Child and Youth Health",DCD Risk and Aerobic and Anaerobic Fitness in Early Childhood: Preliminary results from the CATCH Study,"                  $1,000","                      $0","1 yr 0 mth "
"King-Dowling, Sara M",Direct Payment,Travel Awards - Institute Community Support,201401ISU,"Institute of Human Development, Child and Youth Health",Relationship between temperament and physical activity in preschoolers,"                  $1,000","                      $0","0 yr 3 mths "
"King-Dowling, Sara M",McMaster University,Master's Award: Canada Graduate Scholarships,201202GSM,Canada Graduate Scholarships Master's Awards B,Stability of Developmental Coordination Disorder and its impact on physical activity and health in the early years,"                 $17,500","                      $0","1 yr 0 mth "
"King-Dowling, Sara M",Direct Payment,CIHR Fellowship,201611MFE,Health Research Training B - HP,"Assessing the long-term effectiveness of a 30-week motor intervention program on physical activity, motor competence and perceived motor competence in at-risk preschoolers","                $150,000","                      $0","3 yrs 0 mth "
"King-Dowling, Sara M",McMaster University,Travel Awards - Institute Community Support,201701ISU,Institute of Health Services and Policy Research,Longitudinal examination of physical activity levels in children with and without motor coordination difficulties during early childhood,"                  $1,500","                      $0","1 yr 0 mth "
"King-Dowling, Sara M",McMaster University,Travel Awards - Institute Community Support,201909ISU,"Institute of Human Development, Child and Youth Health",Motor competence and cardiovascular health indicators across early childhood,"                  $1,000","                      $0","1 yr 0 mth "
"King, Gillian A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Emerging Team Grant: Children with Disabilities (Bright Futures for Kids with...,200810TWC,Emerging Team Grant: Children with Disabilities,Severe childhood disability: Optimizing settings for participation  and inclusion,"                $810,983","                  $9,400","3 yrs 0 mth "
"King, Keith D",University of Alberta,Doctoral Research Award - Priority Announcement - HIV/AIDS and/or STBBI,202010DF1,Doctoral Research Awards - B,Lii kaansayr kipihtinaant (Cancer Prevention): HPV immunization among Alberta Métis families.,"                $105,000","                      $0","3 yrs 0 mth "
"King, Malcolm; King, Alexandra",University of Saskatchewan,Project Grant,202004PJT,Indigenous Health Research,Reconnecting and Awakening Indigenous Wellness Knowledge: Knowledge Development and Exploration with Grandmother's Bay,"                $100,000","                      $0","1 yr 0 mth "
"King, Malcolm; King, Alexandra",University of Saskatchewan,Project Grant,201809PJT,Indigenous Health Research,Indigenous Knowledge Development Centres with a focus on Wellness - miyo-pimâtisiwin,"              $2,252,924","                      $0","4 yrs 0 mth "
"King, Malcolm; Bill, Lea; Letendre, Angeline D; King, Alexandra",University of Saskatchewan,Operating Grant: Network Environments for Indigenous Health Research- Dev Grants,201806NEH,Network Environments for Indigenous Health Research (NEIHR),Indigenous Wellness Environment NEIHR Network: A NEIHR Network with a focus on Indigenous wellness,"                 $74,950","                      $0","1 yr 0 mth "
"King, Malcolm; King, Alexandra; Ross, Alex",University of Saskatchewan,Project Grant,202104PJT,Indigenous Health Research,Achieving Healing and Wellness through Cultural Continuity Approaches: Strengthening Promising Practices for Addictions Treatments in an Indigenous Community in Saskatchewan,"              $1,074,824","                      $0","4 yrs 0 mth "
"King, Matthew J",Toronto Metropolitan University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201110GSD,Doctoral Research Awards - B,Autobiographical memory in schizophrenia: A virtual reality investigation,"                $105,000","                      $0","3 yrs 0 mth "
"King, Nicholas B",McGill University,Operating Grant - Priority Announcement: Ethics,201003EOG,"Humanities, Social Sciences, Law & Ethics in Health","Measurement, Ethics, and Health Policy: Investigating the Role of Value Judgments in the Measurement and Evaluation of Health Inequalities","                $190,434","                      $0","3 yrs 0 mth "
"King, Samantha J","Queen's University (Kingston, Ontario)",Operating Grant,200909MOP,"Humanities, Social Sciences, Law & Ethics in Health","Painkiller Addiction and Moral Panic: A Discursive Analysis of a Contemporary ""Epidemic""","                $150,589","                      $0","3 yrs 0 mth "
"Kingsbury, Célia",Université du Québec à Montréal,Undergraduate: Summer Studentship Award - Institute Community Support,201901SIP,Summer Studentships in Musculoskeletal Health,Association transversale entre la dose d'activité physique quotidienne et le niveau de PCR chez des adultes en santé et touchés par l'arthrite ou la fibromyalgie: données de l'Enquête canadienne sur les mesures de la santé,"                  $5,000","                      $0","0 yr 4 mths "
"Kingsbury, Célia",Université de Montréal,Doctoral Research Award: Canada Graduate Scholarships,202211FBD,Doctoral Research Awards - B,"Le transport actif en ville, équitable pour tous.te.s? : Effets d'une intervention urbaine sur les déplacements à vélo et les niveaux de bien-être liés au transport dans une perspective de justice socio-spatiale","                $105,000","                      $0","3 yrs 0 mth "
"King, Seema",University of Calgary,Summer Program in Aging,202201SMP,Summer Program in Aging,Improving support of substitute decision makers: Identification of decision-making needs and associated support tools for caregivers of people living with dementia,"                      $0","                      $0","1 yr 0 mth "
"King, Suzanne; Austin, Marie-Paule; Kildea, Sue",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Social & Developmental Aspects of Children's & Youth's Health,"QF2011: The effects of the Queensland Flood on pregnant women, their pregnancies, and their children's early development.","              $1,788,770","                      $0","4 yrs 6 mths "
"King, Suzanne",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201009MOP,Social & Developmental Aspects of Children's & Youth's Health,"Project Ice Storm: Continuing Effects of Prenatal Stress on Children's Physical, Cognitive and Behavioural Development in Adolescence.","                $811,176","                      $0","5 yrs 0 mth "
"King, Suzanne",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,200809MOP,Social & Developmental Aspects of Children's & Youth's Health,The Iowa Flood Project: Effects of prenatal maternal stress on pregnancy outcomes and infant development.,"              $1,833,269","                      $0","5 yrs 0 mth "
"King, Suzanne; Yang, Seungmi",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,201603PJT,Project Grant Competition,The Health Effects of Prenatal Maternal Stress from the 1998 Quebec Ice Storm,"                $833,305","                      $0","5 yrs 0 mth "
"King, Will D","Queen's University (Kingston, Ontario)",Operating Grant: Secondary Data Analysis for Cancer Prevention and Control,201711PCC,Secondary Data Analysis - All Other Cancers,Exposure to ultraviolet radiation and the risk of non-cutaneous cancer incidence,"                 $74,925","                      $0","1 yr 0 mth "
"Kipp, Walter E",University of Alberta,Operating Grant,201009MOP,"Public, Community & Population Health",Transferring a rural community-based HIV treatment program in Uganda from researchers to local stakeholders :  can program successes be maintained?,"                $285,229","                      $0","3 yrs 0 mth "
"Kirk Chang, Megan A",University of Victoria (British Columbia),Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards B,Exploring the Relationship between the Transition to the  Professional Workforce and Participation in Physical Activity among  Young Adults,"                 $17,500","                      $0","1 yr 0 mth "
"Kirkland, Susan A; Dingwell, Julie A",Dalhousie University (Nova Scotia),Planning and Dissemination Grant - Institute Community Support,201402PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Surging ahead in community-based research in HIV/AIDS: Building on our collective knowledge to reduce harms and understand the impact of addiction on people at risk or living with HIV/AIDS in Atlantic Canada,"                 $10,000","                      $0","1 yr 0 mth "
"Kirkland, Susan A",Dalhousie University (Nova Scotia),Team Grant - HIV/AIDS and comorbidities - LOI,201111TCI,HIV/AIDS and Co-morbidities,At the Intersection: Healthy Aging with HIV Comorbidities,"                 $10,000","                      $0","1 yr 0 mth "
"Kirkland, Susan A; MacIsaac, Cynthia P; Gahagan, Jacqueline C",Dalhousie University (Nova Scotia),Catalyst Grant: HIV/AIDS CBR Program - General Stream,201110CDE,HIV/AIDS Community-Based Research - General Stream (Merged),Community and Provider Perspectives on Improving Treatment Adherence and Retention for Injection Drug Users Living with HIV/AIDS: A Pilot Project,"                 $33,000","                      $0","1 yr 0 mth "
"Kirkland, Susan A",Dalhousie University (Nova Scotia),Catalyst Grant: Analysis of CLSA Data,201608ACD,Catalyst Grant: Analysis of CLSA Data,What makes people live long and keep well? Advancing the science of 'healthy aging' through examining the lay perspectives of older adults in the Canadian Longitudinal Study on Aging,"                 $70,000","                      $0","1 yr 0 mth "
"Kirkland, Susan A",Dalhousie University (Nova Scotia),Catalyst Grant: Analysis of CLSA Data,201809ACD,Catalyst Grant: Analysis of CLSA Data,A Machine Learning Approach to Identifying Healthy Aging: Developing Healthy Aging Phenotypes and Personas in the Canadian Longitudinal Study on Aging,"                 $70,000","                      $0","1 yr 0 mth "
"Kirk, Megan E",University of Victoria (British Columbia),Travel Awards - Institute Community Support,201601ISU,Institute of Population and Public Health - Travel Awards,Exploring the changing nature of public health nursing practice.,"                  $1,500","                      $0","1 yr 0 mth "
"Kirkpatrick, Sharon; Hammond, David G",University of Waterloo (Ontario),Operating Grant: CCHS - Nutrition Analysis,201611NAS,Operating Grant: CCHS - Nutrition Analysis,A between-country dietary analysis and policy scan: Leveraging population-level nutrition data to inform policy,"                $100,000","                      $0","1 yr 0 mth "
"Kirkpatrick, Sharon",University of Waterloo (Ontario),Planning and Dissemination Grant - Institute Community Support,201909PCS,Planning and Dissemination - INMD,Accelerating methods for characterizing dietary patterns and their influence on health: An international working meeting,"                 $15,000","                      $0","1 yr 0 mth "
"Kirk, Sara F; McIsaac, Jessie-Lee D",Dalhousie University (Nova Scotia),Operating Grant: Population Health Intervention Research,201409GIR,Operating Grant: Population Health Intervention Research,Building on successes and learning from challenges: A comprehensive evaluation of the school food and nutrition policy in Nova Scotia,"                 $98,080","                      $0","1 yr 0 mth "
"Kirk, Sara F",Dalhousie University (Nova Scotia),Operating Grant: Population Health Intervention Research,201312GIR,Operating Grant: Population Health Intervention Research,Healthy Eating in Recreation and Sport Settings,"                      $0","                      $0","0 yr 1 mth "
"Kirk, Sara F; Kuhle, Stefan",Dalhousie University (Nova Scotia),Operating Grant: Population Health Intervention Research,201212GIR,Operating Grant: Population Health Intervention Research,The influence of comprehensive school health on school culture and health behaviors in children,"                 $24,833","                      $0","0 yr 1 mth "
"Kirk, Sara F; Sim, Sarah Meaghan",Dalhousie University (Nova Scotia),Catalyst Gr: Impacts of financial/organizational restructuring of public health,202001RPH,Catalyst Grant : Impacts of financial and organizational restructuring of public health,Designing health service and delivery systems for impact in population health and health equity: What are the most meaningful indicators of success?,"                $152,302","                      $0","1 yr 0 mth "
"Kirk, Sara F; Stymiest, Laura C",Dalhousie University (Nova Scotia),Planning and Dissemination Grant - Institute Community Support,202207PCS,Planning and Dissem. - IHDCYH Youth Health Research,Engaging Children and Youth to Take Action to Promote Their Well-being,"                 $10,000","                      $0","1 yr 0 mth "
"Kirk, Sara F",Dalhousie University (Nova Scotia),Planning and Dissemination Grant - Institute Community Support,202402PCS,Planning and Dissemination Grants,Catalyzing Action on the Commercial Determinants of Health in Atlantic Canada,"                 $19,750","                      $0","1 yr 0 mth "
"Kirmayer, Laurence J; Copenace, Sherry",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Team Grant: Pathways IRT - Component 2 - LOI- Suicide Prevention,201411PR2,Pathways Implementation Research Team - Component 2 - LOI,Culturally-Based Suicide Prevention and Mental Health Promotion for Indigenous Youth,"                 $12,500","                      $0","0 yr 8 mths "
"Kirmayer, Laurence J; Tierney, Jenny",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Operating Grant: Pathways Implementation Research Team - Component 1,201410OPA,Pathways Implementation Research Team - Component 1,Suicide Prevention for Inuit Youth,"                 $49,940","                      $0","1 yr 0 mth "
"Kirmayer, Laurence J; Copenace, Sherry",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Team Grant: Pathways Implementation Research Team - Component 2,201509OP2,Pathways Implementation Research Team - Component 2,Culturally-Based Suicide Prevention and Mental Health Promotion for Indigenous Youth,"                $675,000","                      $0","3 yrs 0 mth "
"Kirsh, Victoria",Ontario Health - CCO - Cancer Care Ontario (Toronto),Operating Grant,200910MOP,"Public, Community & Population Health 2",Vitamin D from dietary intake and sunlight exposure and the risk of cancer: a prospective study,"                $100,000","                      $0","1 yr 0 mth "
"Kirsh, Victoria",University of Toronto,Operating Grant: Secondary Data Analysis for Cancer Prevention and Control,201711PCC,Secondary Data Analysis - All Other Cancers,"Investigating the role of radon, air pollution, and diet on lung cancer risk among non-smokers in the Canadian Partnership for Tomorrow Project (CPTP)","                 $75,000","                      $0","1 yr 0 mth "
"Kirst, Maritt",Unity Health Toronto,Fellowship - PA: Health Services/Population Health HIV/AIDS Research,201002ZNF,Health Research Training A - Post-PhD (HTA),The Influence of Social Capital on HIV and HCV-Related Behaviours of Street-Involved Youth,"                 $90,000","                      $0","2 yrs 0 mth "
"Kirychuk, Shelley",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,201402PCS,Planning and Dissemination - IIPH,The Built Environment and First Nations Health:  Addressing & Redressing the Issues.  Establishing a Blueprint for Canada,"                 $11,000","                      $0","1 yr 0 mth "
"Kirychuk, Shelley; Bradford, Lori E; Martin, Wanda L; McPhedran, Kerry",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,202302PCS,Planning and Dissemination Grants,Building the Future,"                 $25,000","                      $0","1 yr 0 mth "
"Kirychuk, Shelley; Rabbitskin, Norma J; Ramsden, Vivian R",University of Saskatchewan,Op. Gr.: Emerging COVID Res. Gaps & Priorities - Indigenous Health Research,202109ER5,Operating Grant: Emerging COVID-19 Research Gaps & Priorities (July 2021) - IHR,mamawohkamatowin:  working together to understand the house and COVID-19 in a Saskatchewan First Nation Community,"                $272,415","                      $0","1 yr 0 mth "
"Kisikaw Piyesis, Margaret L","Communities, Alliances & Networks (Saskatchewan)",OG: Addressing Infectious/Congenital Syphilis - Syphilis New Models - Indigenous,202311AS6,Addressing Infectious and Congenital Syphilis in Canada,wahkohtowin (Kinship beyond the immediate family) Community-based models of care to reach and support Indigenous and racialized women of reproductive age and pregnant women in Canada for the prevention of congenital syphilis,"                $228,600","                      $0","1 yr 0 mth "
"Kisikaw Piyesis, Margaret L; Ironstand, Darwin; Daschuk, James W",Direct Payment,Cat. Gr.: Indig. Appr. to Wellness Research - Wellness in musculoskeletal health,201710IA3,Indigenous Approaches to Wellness Research,Mâcîpiciw: Restoration of Indigenous men's roles and responsibilities,"                $150,000","                      $0","1 yr 0 mth "
"Kisikaw Piyesis, Margaret L; Loppie, Charlotte J",Direct Payment,Project Grant,201803PJT,Indigenous Health Research,Kotawe (start a fire): Igniting cultural responsiveness through community-determined intervention research,"              $2,275,876","                      $0","5 yrs 0 mth "
"Kisikaw Piyesis, Margaret L; Ironstand, Darwin",Direct Payment,Indigenous Gender and Wellness Development Grants,201910IWD,Indigenous Gender and Wellness Development Grants,Mâmawapiwin (Meeting) -restoring Men's roles and responsibilities,"                 $75,000","                      $0","1 yr 0 mth "
"Kisikaw Piyesis, Margaret L; Kelsey, roz","All Nations Hope Network (Regina, Saskatchewan)",Project Grant,202203PJT,Indigenous Health Research,"Kiskinowâphkewin Manitou Isîhcikêwin (imitating Creator's way of being and doing): Restoring urban Indigenous men's rites, roles, and responsibilities","              $1,855,126","                      $0","5 yrs 0 mth "
"Klassen, Anne F",McMaster University,Ontario Women's Health Council / IGH Mid-Career Award,200909GHM,OWHC/IGH Mid Career Awards,Caring for a Child with Cancer: Understanding Single Parent Families' Experiences,"                      $0","                      $0","5 yrs 0 mth "
"Klassen, Gillian H",McGill University,Travel Awards - Institute Community Support,201501ISU,Institute of Indigenous Peoples' Health,Cultural Differences in Future Orientations Among First Nations and Euro-Canadian Youth,"                  $1,500","                      $0","1 yr 0 mth "
"Klein, Doug; Lessard, Sean M",University of Alberta,Operating Gr.: DPP&S - Indigenous YYA T2D Prevention & Self-Management,202211SM4,"Operating Grant : Diabetes, Psychosocial Health, Prevention and Self-Management",Healthy Fit and Strong - Changing the Story for Indigenous Youth and Young Adults,"              $1,000,000","                      $0","4 yrs 0 mth "
"Klein, Doug; Lessard, Sean M; Boushel, Robert C; Svrcek, Clark; Wicklum, Sonja C",University of Alberta,Team Grant: HCIS - LOI - Urban Indigenous Health,202110LT5,Team Grant : Healthy Cities Implementation Science (HCIS) Team Grants - LOI,CHANGE Health - Building Communities and Changing Lives,"                 $24,970","                      $0","1 yr 0 mth "
"Klein, Marina B",Research Institute of the McGill University Health Centre,Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,5th International HIV/Viral Hepatitis Co-infection IAS Satellite Meeting,"                 $20,000","                      $0","1 yr 0 mth "
"Klein, Marina B",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,"Public, Community & Population Health 2",After the Cure: Measuring the full impacts of direct-acting antivirals for people living with HIV/hepatitis C virus coinfection in Canada,"              $1,587,376","                      $0","4 yrs 0 mth "
"Klein, Marina B",Research Institute of the McGill University Health Centre,Project Grant,202204PJT,"Public, Community & Population Health 2",After the Cure: Measuring the full impacts of direct acting antivirals for people living with HIV/hepatitis C virus coinfection in Canada,"                $100,000","                      $0","1 yr 0 mth "
"Knauper, Barbel",McGill University,Operating Grant,201203MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Increasing the Effectiveness of the Diabetes Prevention Program Through If-then Plans and Mental Practice: A Parallel Randomized Trial,"                $448,654","                      $0","4 yrs 0 mth "
"Knauper, Barbel; Grover, Steven A",McGill University,Project Grant,201709PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Increasing the effectiveness of weight loss programs for emotional eaters: Training emotional eaters to use acceptance-based techniques for weight loss and maintenance,"                $554,625","                      $0","5 yrs 0 mth "
"Knauper, Barbel; Grover, Steven A",McGill University,Project Grant,201611PJT,Project Grant Competition,Increasing the long-term effectiveness of behavioral weight loss programs for emotional eaters through the habitual use of acceptance-based strategies,"                $100,000","                      $0","1 yr 0 mth "
"Knight, Jennifer M",Direct Payment,CIHR Café Scientifique Program,201305SCI,CIHR Café Scientifique Program,The Science of Sex(uality),"                  $2,600","                      $0","1 yr 0 mth "
"Knight, Jesse",Unity Health Toronto,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201810GSD,Doctoral Research Awards - B,Impacts of model heterogeneity on simulated HIV epidemics in Southern Africa,"                $105,000","                      $0","3 yrs 0 mth "
"Knight, Julia A; Lee, Tim K",Sinai Health System (Toronto),Operating Grant: Priority Announcement (IPPH),200809IPA,"Public, Community & Population Health - A",Determinants of 25-hydroxyvitamin D over the seasons in Canada,"                $100,000","                      $0","1 yr 0 mth "
"Knight, Julia A",Sinai Health System (Toronto),Operating Grant,201009MOP,"Public, Community & Population Health 2",Determinants of 25-hydroxyvitamin D in a multiethnic Canadian population,"                $369,960","                      $0","3 yrs 0 mth "
"Knight, Julia A",Sinai Health System (Toronto),Operating Grant - Priority Announcement: Breast Cancer,201003COP,"Public, Community & Population Health",Body composition and breast cancer related biomarkers,"                $296,472","                      $0","3 yrs 0 mth "
"Knight, Julia A",Sinai Health System (Toronto),Catalyst Gr: Can Res in Urgent Areas - Cannabis use and other drug/substance use,201810CU3,Cannabis Research in Urgent Priority Areas,Parental cannabis use in the perinatal period and child outcomes: capturing changes with legalization in the Ontario Birth Study,"                $120,087","                      $0","1 yr 0 mth "
"Knight, Julia A; Shah, Prakeshkumar; Matthews, Stephen G; Wade, Mark",Sinai Health System (Toronto),"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",A window on changes in early childhood development with COVID-19 pandemic exposure before and after birth: the Ontario Birth Study,"                $149,860","                      $0","1 yr 0 mth "
